X,avg_log2FC,p_val_adj
Accs,3.087913446,0.023046724
Actb,0.89598901,1.32E-34
Actg1,1.289999758,8.82E-18
Add2,0.659660648,1.24E-55
Afap1,1.817484965,2.68E-85
Akap9,1.219070349,1.17E-99
Amn1,1.169144248,2.35E-28
Ank3,0.770893779,0
Ankrd13b,1.376354452,3.65E-30
Ano10,0.936932207,0.000965119
Aox4,5.146830074,2.22E-71
Aplp1,1.010649839,9.12E-22
Arhgap28,3.626800045,7.44E-12
Arhgap42,0.748960481,1.44E-10
Arhgef28,2.263651725,1.87E-50
Armc10,1.755820076,4.37E-24
Asap2,0.748889683,3.07E-24
Asxl3,1.399514234,5.64E-106
Atat1,2.256154972,8.75E-129
Avl9,1.13499537,1.55E-23
Basp1,1.357223232,1.06E-162
Baz1a,2.517764847,1.48E-05
Baz2b,0.306991197,1.66E-07
Bcar1,1.055372512,0.020018032
Bcl9,1.985166738,1.17E-98
Bzw2,1.297983746,1.19E-74
Cacnb3,2.395987248,1.95E-111
Cald1,4.39950424,1.25E-120
Capn6,1.270421731,0.000991819
Caprin1,1.038463687,1.43E-57
Cask,0.68422962,3.57E-47
Casp3,1.696610837,8.02E-20
Cbx1,0.934847946,1.71E-12
Ccnjl,1.77611827,6.29E-10
Cd1d1,4.844810784,1.79E-32
Cd24a,6.001366806,1.93E-72
Cdk4,1.052134452,0.001487354
Cenpj,1.408253536,0.006821367
Cep120,0.624692117,0.02473428
Cers5,0.853432893,7.78E-09
Chn2,5.875826596,0
Clasp1,0.423827711,1.07E-15
Clcn2,0.601599292,1.52E-12
Cnot8,1.008788122,3.52E-06
Crlf1,5.769458239,3.09E-42
Ctnnd1,1.599401456,1.56E-119
Ctxn1,1.980698376,4.44E-80
Dbn1,1.894091637,2.42E-157
Dchs1,2.751995417,1.03E-41
Ddah2,8.208277698,8.92E-38
Dhx57,1.663856981,8.08E-101
Dip2b,1.055404134,5.52E-155
Dnaja1,0.762498112,6.31E-06
Dock11,3.243356088,4.16E-33
Dock4,1.228632357,1.18E-179
Dpf1,1.227060353,8.52E-18
Dpysl2,0.551547445,2.47E-26
Dpysl5,3.616785192,0
Dync1i2,0.859529123,2.10E-116
Efna4,3.312285394,1.80E-08
Eif4ebp1,2.302179598,9.55E-05
Epha4,0.953187904,5.06E-69
Etv4,3.729493556,1.47E-66
Etv5,0.320325146,9.99E-08
Evl,1.678632627,4.49E-164
Ezh2,2.019833448,7.74E-84
Fam107b,5.751846466,1.48E-81
Fam110b,0.609787775,1.40E-08
Fam118b,0.773287874,5.40E-05
Fam89b,2.348591128,2.74E-32
Fat4,3.609875487,6.18E-106
Fblim1,2.705663594,9.78E-22
Fkbp7,1.767901587,0.000183886
Flna,2.014655447,3.89E-171
Fmnl2,1.596859645,0
Fnbp1l,0.527319427,8.85E-43
Foxp1,0.523918117,3.39E-87
Foxp4,1.501989776,6.62E-13
Fras1,0.391564601,4.96E-08
Fzd3,0.878988326,4.37E-11
Gdpd5,0.794961542,0.000430176
Gfod2,1.746895075,2.58E-91
Gga2,1.69422253,3.23E-55
Gjc1,3.891640718,1.12E-06
Gnb1,0.757380225,1.45E-41
Gpc2,7.742753133,4.52E-292
Gpr137b,1.77145582,1.08E-08
Gpr137c,0.713881869,3.05E-12
Gramd1a,2.149994774,2.01E-78
Grrp1,5.631596877,0.000184067
H2afy,0.751137672,0.000558144
H2afy2,1.863755633,1.30E-26
H3f3b,0.994169523,1.46E-12
Hipk2,1.677608934,2.63E-135
Homer3,4.484369718,3.91E-50
Idh2,1.257605334,1.45E-06
Ifnar2,1.42533059,2.23E-11
Igfbp2,4.791350626,2.56E-58
Igsf9,5.215981444,6.32E-135
Il17rd,2.4666783,1.28E-05
Ilf3,1.164653571,1.01E-31
Itga6,1.102681398,0.004419496
Itgb1,0.632356548,4.97E-05
Itsn1,0.969466742,4.41E-61
Jak2,0.785746497,2.32E-10
Kcnh8,6.330841157,7.90E-197
Kcp,6.550950436,8.40E-179
Kdm1a,0.627106516,5.65E-09
Khdrbs1,0.999555954,4.71E-54
Kif21b,1.439991381,2.01E-49
Klhl25,1.388410477,8.69E-10
