X,avg_log2FC,p_val_adj
Abca1,1.172,7.60E-17
Ablim1,1.048,0.003275186
Adam19,0.941,0.000000959
Ankrd44,0.69,0.006061054
Ano6,0.832,0.000000085
Anxa6,0.794,0.003169231
Arhgef1,0.862,0.001517679
Arl4c,0.853,0.00000267
Arl8a,0.57,0.008961923
Arsb,0.539,0.0000958
Atp2c1,0.513,0.001072415
Basp1,0.491,0.004677643
Bcl11b,1.862,1.48E-08
Bmp1,0.523,0.008002248
Cacna1e,0.941,0.0000212
Capn6,1.534,0.000000445
Casp3,0.564,0.008524203
Cd24a,2.668,2.97E-18
Cdh10,1.088,0.001385255
Cdh13,0.823,0.001400808
Cers6,0.597,0.0000936
Clcn5,0.607,0.000346499
Clic4,0.567,0.007921934
Clmp,1.019,0.000000369
Ctxn1,1.252,0.0000274
Daam1,0.569,0.000225717
Dclk1,1.102,0.00000115
Dcx,1.764,4.32E-11
Dgka,0.758,0.0000427
Dhx57,0.632,0.005410063
Dlgap1,0.833,0.007650851
Dlgap4,0.579,0.008342238
Dock11,1.002,0.002229157
Dock9,1.005,0.002122598
Dpysl3,0.854,0.00000112
Draxin,0.81,0.0043748
Dusp18,0.92,0.005746855
Dync1li1,0.437,0.004763203
Eif3c,0.37,0.008536937
Epc1,0.655,0.009327586
Ephb1,0.743,0.007867137
Eps15,0.533,0.000225406
Ezh2,0.563,0.008096909
Fabp5,1.201,0.000833539
Fam124a,0.946,0.001171595
Gab2,0.671,0.0000846
Gas7,0.954,0.000145097
Gng2,1.097,0.0000053
Gpc2,0.669,0.004875221
Gpr137b,0.603,0.003696787
Grb14,1.068,0.005432852
Grm2,1.115,0.001567966
Gstt1,1.16,0.000935327
Hunk,0.681,0.002693354
Igsf3,0.689,0.001439944
Ikzf2,0.425,0.007081333
Jak2,1.259,0.000809636
Klhl24,0.368,0.007332219
Klra2,1.274,0.00040356
Kpna3,0.349,0.007744973
L1cam,1.163,0.0006731
Lgi1,0.936,0.000358694
Limk2,0.887,0.008759341
Lmnb1,0.597,0.005966952
Map1b,0.869,8.77E-10
Marcks,0.78,0.006011977
Marcksl1,0.591,0.003366265
Mbtd1,0.762,0.008099419
Mex3b,1.29,0.00000125
Mpp7,0.634,0.000454737
Nav2,1.194,0.00000195
Nhsl1,1.413,0.0000154
Nin,0.395,0.008841473
Npc1,0.388,0.004424015
Nrcam,0.554,0.009840283
Nrg1,1.106,0.0000421
Olfml2b,0.663,0.003001518
Pcyox1,0.51,0.000977357
Plcb1,0.697,0.000485763
Plekhm3,0.411,0.00388679
Plxna1,0.817,0.001539983
Ppfibp2,1.141,0.000267545
Prmt2,1.088,0.000881351
Prss12,0.603,0.004827897
Ralgds,0.903,0.000486918
Rapgef6,0.701,0.0000437
Rbms1,1.325,4.08E-10
Rell1,1.197,0.0000365
Rmst,1.076,0.003261871
Rngtt,0.642,0.009331475
Robo2,0.783,0.005230637
Rock1,0.408,0.003846956
Rtn1,0.507,0.007720102
Rtn4,0.588,0.01046019
S100a10,1.11,0.004893698
Scn3a,0.865,0.000464876
Scpep1,0.543,0.00378907
Sh3bgrl,0.535,0.007525154
Shtn1,0.918,0.0000957
Sipa1l2,0.449,0.002529334
Slc38a2,0.444,0.001210892
Slc44a2,0.637,0.0000299
Slc44a5,1.079,0.003436378
Snhg5,1.289,0.0000501
Sox5,1.222,0.006410519
St6gal2,0.886,0.000141738
St8sia2,1.201,0.00000306
St8sia4,1.523,1.34E-10
Stmn2,1.044,0.000000858
Sympk,0.763,0.002587158
Synrg,0.908,0.006988355
Syt5,0.647,0.003931306
Tmed4,0.414,0.008716392
Tmem44,1.36,0.0000788
Tmem47,1.14,0.0000282
Tox,0.57,0.004323848
Tox3,0.806,0.000592
Tpm4,0.432,0.004031695
Trpc5,1.028,0.000035
Tspan11,0.836,0.005921986
Tspan2,0.607,0.010165521
Tubb3,0.817,0.001766823
Tubb5,0.595,0.0000883
Ulk2,0.576,0.000179733
Wdr47,0.891,0.004491584
Xist,0.679,0.003759471
Zfp362,0.797,0.009943624
