X,avg_log2FC,pct.1,pct.2,p_val_adj
Ablim3,1.189594888,0.257,0.201,9.57E-13
Accs,3.809300554,0.022,0.003,9.26E-10
Actb,1.110938389,0.639,0.517,2.14E-83
Actg1,1.417329287,0.387,0.288,1.74E-40
Acvr2b,1.254081699,0.084,0.047,6.58E-08
Adamts4,4.003891136,0.022,0.002,2.58E-13
Adamtsl1,2.273633009,0.118,0.048,1.15E-28
Adgra3,3.845992044,0.158,0.021,1.22E-103
Akap9,1.439508357,0.734,0.595,2.94E-253
Akr1c19,5.482557034,0.025,0,2.39E-18
Aldh1l2,3.171925558,0.223,0.042,5.83E-130
Amotl1,3.354409164,0.072,0.012,1.77E-38
Amotl2,5.30694271,0.028,0.001,8.51E-20
Anapc5,1.608002878,0.47,0.307,1.65E-96
Ankrd44,1.436701523,0.194,0.126,1.01E-17
Aox4,5.208808663,0.106,0.005,2.40E-85
Apc2,1.68543135,0.272,0.153,2.43E-47
Apcdd1,3.466839896,0.019,0.003,1.24E-08
Aplp1,1.187145901,0.503,0.403,9.34E-54
Apoe,1.931196958,0.041,0.018,2.65E-06
Arhgap28,3.477485837,0.03,0.005,1.57E-13
Arhgef1,1.385979126,0.515,0.377,1.99E-81
Arhgef28,2.378051133,0.208,0.065,8.52E-81
Arhgef37,2.57716004,0.199,0.067,1.75E-71
Arhgef40,1.642892433,0.074,0.04,7.88E-08
Arl10,1.902782965,0.025,0.009,0.000639753
Armc10,1.956535606,0.198,0.09,9.80E-46
Asxl3,1.500815899,0.699,0.534,8.02E-226
Atat1,2.34407524,0.485,0.193,1.24E-220
Atp11c,1.967318454,0.447,0.236,7.10E-135
Atp2b4,1.830932067,0.143,0.055,1.15E-37
Avl9,1.206088531,0.443,0.347,2.00E-47
B3gat3,1.818734808,0.189,0.1,5.17E-32
B3gnt5,5.897615866,0.01,0,4.57E-06
Bach1,2.882428917,0.141,0.029,4.74E-71
Bach2,1.428925877,0.884,0.771,0
Basp1,1.399237559,0.82,0.668,0
Baz1a,2.352441595,0.03,0.008,1.17E-08
Bcam,2.191338585,0.032,0.008,3.39E-10
Bcl9,1.859089607,0.484,0.274,2.83E-141
Bex1,1.505922462,0.07,0.036,4.17E-08
Bex4,2.01087521,0.029,0.009,1.45E-07
Bok,1.72449643,0.048,0.026,0.000966087
Btg1,2.110792272,0.089,0.041,1.70E-15
C1qtnf4,2.304361023,0.407,0.164,7.80E-159
Cachd1,1.243800652,0.113,0.071,7.37E-08
Cacnb3,2.474290391,0.396,0.135,4.27E-181
Cacng4,6.228354054,0.163,0.003,8.22E-146
Cald1,4.766882606,0.23,0.016,2.10E-189
Casp3,1.922347475,0.205,0.099,2.02E-43
Cbln1,4.23680657,0.007,0,0.029545828
Cbx1,1.018579411,0.355,0.293,8.71E-19
Ccdc112,1.955754519,0.165,0.07,7.30E-40
Cd200,1.82812581,0.276,0.134,1.50E-64
Cd24a,5.086989627,0.097,0.005,2.47E-75
Cdc42ep4,3.033297065,0.015,0.003,0.001238675
Cdk5rap2,1.355455101,0.197,0.121,1.19E-20
Cdk5rap3,1.581262987,0.123,0.072,1.48E-12
Celf4,1.363592482,0.945,0.862,0
