X,avg_log2FC,pct.1,pct.2,p_val_adj
1-Mar,0,0,0,1
2-Mar,0,0,0,1
A1bg,-2.183564047,0,0.003,1
A1cf,0.241324128,0.001,0.003,1
A26c2,-2.390520448,0.001,0.02,3.84E-05
A2m,5.017859943,0.004,0,1
A2ml1,-2.135570147,0.002,0.034,8.65E-12
A3galt2,2.896455296,0.012,0.003,0.199008258
A4galt,0.273720423,0,0.001,1
A4gnt,-2.110687313,0,0.001,1
Aaas,0.248560363,0.04,0.097,6.02E-10
Aacs,0.564056644,0.104,0.178,3.66E-06
Aadac,0,0,0,1
Aadacl2,0,0,0,1
Aadacl3,0,0,0,1
Aadacl4,0,0,0,1
Aadat,-0.577726104,0.002,0.007,1
Aaed1,0,0,0,1
Aagab,-1.279975015,0.118,0.557,6.22E-192
Aak1,-1.005962919,0.392,0.882,4.18E-208
Aamdc,0.139606897,0.073,0.187,8.29E-24
Aamp,1.659894307,0.133,0.127,1
Aanat,-1.00370179,0.003,0.022,5.56E-05
Aar2,0.699547932,0.056,0.099,0.004210107
Aard,-2.289545025,0.003,0.031,3.30E-09
Aars,0.158782735,0.123,0.286,1.61E-31
Aars2,0.124842157,0.042,0.111,4.25E-14
Aarsd1,1.031408765,0.119,0.183,0.016894611
Aasdh,0.924494941,0.087,0.129,1
Aasdhppt,0.279549497,0.049,0.132,1.68E-17
Aass,-0.551762725,0.002,0.006,1
Aatf,0.707760416,0.267,0.434,5.73E-06
Aatk,-0.049342379,0.148,0.383,3.71E-53
AB041806,0.723802948,0.009,0.014,1
AB124611,-0.156455925,0.015,0.053,8.73E-09
Abat,-1.486642691,0.044,0.285,4.96E-101
Abca1,0.705203516,0.01,0.018,1
Abca12,-1.482146934,0.002,0.01,1
Abca13,-0.950648991,0.004,0.028,1.01E-06
Abca14,-1.956108898,0.001,0.013,0.028265754
Abca15,-1.02663798,0.001,0.005,1
Abca16,-0.275143641,0,0.002,1
Abca17,-1.886180293,0.021,0.206,1.78E-82
Abca2,-1.134520402,0.058,0.326,4.61E-108
Abca3,-0.015645919,0.208,0.506,2.84E-61
Abca4,-0.61055912,0.013,0.065,1.15E-15
Abca5,-0.120398992,0.176,0.442,1.13E-56
Abca6,-0.344539956,0.013,0.049,7.44E-09
Abca7,-1.11374094,0.029,0.182,3.89E-59
Abca8a,6.480657586,0.108,0.006,1.12E-74
Abca8b,-0.079064465,0.049,0.135,2.39E-19
Abca9,1.485119337,0.018,0.016,1
Abcb10,0.857787183,0.156,0.255,4.10E-06
Abcb11,-0.482214874,0,0.003,1
Abcb1a,-2.148276404,0.002,0.022,2.58E-05
Abcb1b,-1.588198865,0.018,0.152,2.62E-55
Abcb4,-3.064669009,0.016,0.282,2.18E-135
Abcb5,1.790905588,0.001,0.001,1
Abcb6,1.079706678,0.024,0.033,1
Abcb7,1.107149166,0.22,0.286,1
Abcb8,0.816356447,0.083,0.136,0.002094722
Abcb9,-2.190483856,0.032,0.327,2.47E-142
Abcc1,-0.576056579,0.088,0.312,6.08E-70
Abcc10,-1.208741852,0.02,0.115,2.23E-33
Abcc12,0.56000822,0.003,0.007,1
Abcc2,0.077315247,0,0.003,1
Abcc3,-2.600966723,0,0.018,2.00E-05
Abcc4,-1.296664149,0.029,0.182,2.22E-59
Abcc5,0.109490206,0.43,0.747,1.29E-20
Abcc6,-0.03197397,0.001,0.004,1
Abcc8,1.361896473,0.145,0.187,1
Abcc9,3.49249948,0.006,0.002,1
Abcd1,-0.154885774,0.025,0.076,1.61E-11
Abcd2,-1.698722836,0.027,0.273,1.57E-113
Abcd3,0.459559187,0.203,0.372,2.25E-16
Abcd4,0.656835683,0.094,0.159,3.06E-05
Abce1,0.839475298,0.176,0.295,6.93E-08
Abcf1,1.665727548,0.201,0.208,1
Abcf2,1.109439828,0.047,0.065,1
Abcf3,0.006247658,0.055,0.158,3.86E-24
Abcg1,-0.558667161,0.044,0.21,1.07E-57
Abcg2,1.101049703,0.069,0.094,1
Abcg3,1.744239987,0.002,0.001,1
Abcg4,-0.041709937,0.037,0.1,3.75E-13
Abcg5,0,0,0,1
Abcg8,-2.159317995,0,0.001,1
Abhd1,0,0,0,1
Abhd10,0.238668097,0.093,0.208,4.54E-20
Abhd11,1.381194089,0.051,0.052,1
Abhd12,-0.850696616,0.187,0.617,2.84E-156
Abhd12b,-2.03372166,0,0.001,1
Abhd13,0.015778533,0.016,0.064,1.21E-12
Abhd14a,-0.383611989,0.038,0.163,2.09E-39
Abhd14b,-0.609587733,0.037,0.17,2.12E-44
Abhd15,0.180230955,0.015,0.032,1
